Date;Hour;Mean_Value;Min_Value;Max_Value;Std_Dev;Record_Count;Parameter;Unit;KKS_Tag
2025-05-16;0;5498.96618;4508.620199;6721.650391;899.631218;59;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;1;7188.671745;6708.536947;7994.207682;520.596412;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;2;7950.317583;7920.472575;7987.614014;23.712744;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;3;7907.158651;7895.202881;7924.954508;8.263459;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;4;7884.271667;7873.167806;7900.060059;7.085662;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;5;7862.325115;7850.797933;7875.838623;6.69221;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;22;7289.137535;7275.262939;7311.628255;8.40097;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-16;23;7258.030195;7232.33252;7285.451172;14.837663;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;0;7219.853447;7206.248617;7239.693685;7.780596;59;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;1;7192.79289;7175.077962;7214.228841;9.33541;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;2;7157.508097;7141.8396;7174.530762;10.584691;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;3;7123.961793;7107.550618;7141.372965;8.456581;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;4;7088.193397;7075.320638;7105.554036;8.028375;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;5;7056.248402;7028.263265;7088.348307;13.477878;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;22;6523.696482;6509.514811;6546.480632;8.797127;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-17;23;6472.111468;6451.63916;6509.272135;19.542832;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;0;6439.465402;6426.604574;6460.806641;7.632601;59;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;1;6414.696003;6401.870361;6435.292643;7.571428;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;2;6388.574256;6363.968994;6411.79777;10.05272;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;3;6351.164247;6331.359049;6371.646077;8.436458;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;4;6317.828911;6306.457194;6337.017497;7.663961;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;5;6288.964062;6276.974023;6306.013184;8.381158;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;22;5741.781597;5729.075439;5756.202555;7.525526;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-18;23;5716.670213;5701.990153;5744.271077;9.040658;60;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
2025-05-19;0;5669.234696;5649.900716;5717.131022;17.543845;59;Bicarbonate Usage;kg/h;HTJ20CW001XQ01
