Date;Hour;Mean_Value;Min_Value;Max_Value;Std_Dev;Record_Count;Parameter;Unit
2025-05-20;22;225.226137;167.165022;275.831979;28.334287;59;SO2 Dry 11% O2;mg/Nm3
2025-05-20;23;238.262131;203.24509;289.367066;17.892752;59;SO2 Dry 11% O2;mg/Nm3
2025-05-21;0;245.481328;197.20849;322.91167;26.554544;53;SO2 Dry 11% O2;mg/Nm3
2025-05-21;1;244.440644;192.748387;284.676356;19.980483;59;SO2 Dry 11% O2;mg/Nm3
2025-05-21;2;262.723206;209.326863;298.132808;20.379345;59;SO2 Dry 11% O2;mg/Nm3
2025-05-21;3;270.75479;226.806031;345.835932;25.280139;59;SO2 Dry 11% O2;mg/Nm3
2025-05-21;4;282.092755;242.001889;324.050989;20.479814;54;SO2 Dry 11% O2;mg/Nm3
2025-05-21;5;276.979017;227.236412;350.34065;26.603142;60;SO2 Dry 11% O2;mg/Nm3
2025-05-21;22;357.949386;283.26714;469.700718;51.767062;60;SO2 Dry 11% O2;mg/Nm3
2025-05-21;23;327.631032;260.126785;411.1267;33.010321;59;SO2 Dry 11% O2;mg/Nm3
2025-05-22;0;267.251374;236.609408;304.750447;16.335689;25;SO2 Dry 11% O2;mg/Nm3
2025-05-22;1;301.578899;279.914102;338.392913;16.091848;40;SO2 Dry 11% O2;mg/Nm3
2025-05-22;2;294.837833;242.040869;369.974473;26.115196;59;SO2 Dry 11% O2;mg/Nm3
2025-05-22;3;282.715728;217.525467;339.433844;26.223955;60;SO2 Dry 11% O2;mg/Nm3
2025-05-22;4;292.060091;239.591713;337.781502;22.482431;59;SO2 Dry 11% O2;mg/Nm3
2025-05-22;5;294.426059;221.122158;347.289669;28.646311;55;SO2 Dry 11% O2;mg/Nm3
2025-05-22;22;302.644332;177.76384;409.197678;55.573928;57;SO2 Dry 11% O2;mg/Nm3
2025-05-22;23;272.031343;79.234243;412.504171;99.665722;56;SO2 Dry 11% O2;mg/Nm3
2025-05-23;0;343.125419;284.135722;383.59296;23.684499;26;SO2 Dry 11% O2;mg/Nm3
2025-05-23;1;349.785593;298.454721;419.388044;30.439143;40;SO2 Dry 11% O2;mg/Nm3
2025-05-23;2;367.937818;311.389385;438.470531;32.899776;56;SO2 Dry 11% O2;mg/Nm3
2025-05-23;3;358.574115;291.238786;448.894594;40.578022;57;SO2 Dry 11% O2;mg/Nm3
2025-05-23;4;352.63857;226.099385;456.744164;42.066069;57;SO2 Dry 11% O2;mg/Nm3
2025-05-23;5;375.306397;317.552733;462.064894;34.884825;52;SO2 Dry 11% O2;mg/Nm3
2025-05-23;22;337.896517;290.659206;423.348302;31.282166;59;SO2 Dry 11% O2;mg/Nm3
2025-05-23;23;299.654234;251.542032;349.386977;27.892765;59;SO2 Dry 11% O2;mg/Nm3
2025-05-24;0;305.876049;264.751558;340.417266;21.942782;23;SO2 Dry 11% O2;mg/Nm3
2025-05-24;1;313.339199;264.19917;394.513513;26.341123;47;SO2 Dry 11% O2;mg/Nm3
2025-05-24;2;304.024089;268.3964;345.922372;21.415781;59;SO2 Dry 11% O2;mg/Nm3
2025-05-24;3;291.711405;228.695595;348.173791;26.789991;59;SO2 Dry 11% O2;mg/Nm3
2025-05-24;4;307.421889;240.836554;400.365082;34.15198;59;SO2 Dry 11% O2;mg/Nm3
2025-05-24;5;315.697271;275.356487;374.339026;24.327145;55;SO2 Dry 11% O2;mg/Nm3
2025-05-24;22;271.723691;217.904932;318.214439;23.54858;59;SO2 Dry 11% O2;mg/Nm3
2025-05-24;23;263.629478;224.214798;301.580068;18.406282;59;SO2 Dry 11% O2;mg/Nm3
2025-05-25;0;264.917087;232.096112;291.039342;18.966611;25;SO2 Dry 11% O2;mg/Nm3
2025-05-25;1;174.977088;154.981472;224.084286;12.894463;51;SO2 Dry 11% O2;mg/Nm3
2025-05-25;2;180.546531;148.841771;201.32526;11.631295;60;SO2 Dry 11% O2;mg/Nm3
2025-05-25;3;192.200212;160.666076;239.135368;20.730891;60;SO2 Dry 11% O2;mg/Nm3
2025-05-25;4;217.738174;169.612025;267.942668;23.737991;60;SO2 Dry 11% O2;mg/Nm3
2025-05-25;5;218.529429;190.242405;274.080498;15.666975;54;SO2 Dry 11% O2;mg/Nm3
2025-05-25;22;291.417742;236.194729;372.825043;25.140314;59;SO2 Dry 11% O2;mg/Nm3
2025-05-25;23;275.470682;234.811902;330.4656;24.780363;60;SO2 Dry 11% O2;mg/Nm3
2025-05-26;0;284.87954;268.843823;318.445846;13.521275;23;SO2 Dry 11% O2;mg/Nm3
2025-05-26;1;280.05239;240.160691;349.183274;21.341463;34;SO2 Dry 11% O2;mg/Nm3
2025-05-26;2;249.082244;206.751613;314.597324;23.772242;59;SO2 Dry 11% O2;mg/Nm3
2025-05-26;3;262.190616;236.676862;299.738484;13.041811;60;SO2 Dry 11% O2;mg/Nm3
2025-05-26;4;260.599742;230.088235;322.850164;19.636559;60;SO2 Dry 11% O2;mg/Nm3
2025-05-26;5;348.92074;264.425607;633.884715;77.473922;55;SO2 Dry 11% O2;mg/Nm3
2025-05-26;22;204.619696;147.67747;274.92843;27.930219;60;SO2 Dry 11% O2;mg/Nm3
2025-05-26;23;219.012086;94.664378;334.68328;57.156155;60;SO2 Dry 11% O2;mg/Nm3
2025-05-27;0;294.397699;256.677367;330.568687;21.519709;26;SO2 Dry 11% O2;mg/Nm3
2025-05-27;1;266.336955;225.581248;325.667811;24.196696;49;SO2 Dry 11% O2;mg/Nm3
2025-05-27;2;264.788284;227.560779;317.305138;22.438005;59;SO2 Dry 11% O2;mg/Nm3
2025-05-27;3;255.329163;221.104233;291.118092;16.780412;60;SO2 Dry 11% O2;mg/Nm3
2025-05-27;4;244.876216;198.261846;327.362114;31.059952;60;SO2 Dry 11% O2;mg/Nm3
2025-05-27;5;261.943636;227.530075;321.970486;20.2813;55;SO2 Dry 11% O2;mg/Nm3
2025-05-27;22;232.242624;196.19023;287.819904;21.170749;59;SO2 Dry 11% O2;mg/Nm3
2025-05-27;23;239.8828;206.210097;288.088795;16.819752;59;SO2 Dry 11% O2;mg/Nm3
2025-05-28;0;225.925559;201.94635;261.937436;16.349293;24;SO2 Dry 11% O2;mg/Nm3
2025-05-28;1;224.647356;191.632822;268.454318;16.589065;50;SO2 Dry 11% O2;mg/Nm3
2025-05-28;2;229.650241;198.917612;261.200966;13.250116;59;SO2 Dry 11% O2;mg/Nm3
2025-05-28;3;239.364208;203.458948;300.909364;20.773175;59;SO2 Dry 11% O2;mg/Nm3
2025-05-28;4;240.731418;209.553367;278.132808;14.853823;59;SO2 Dry 11% O2;mg/Nm3
2025-05-28;5;254.352632;218.05443;313.41071;24.607233;54;SO2 Dry 11% O2;mg/Nm3
2025-05-28;22;289.095014;238.462919;380.802872;30.348459;59;SO2 Dry 11% O2;mg/Nm3
2025-05-28;23;304.659124;264.577654;342.01542;19.764569;59;SO2 Dry 11% O2;mg/Nm3
2025-05-29;0;307.44648;276.60816;338.555598;15.830159;24;SO2 Dry 11% O2;mg/Nm3
2025-05-29;1;302.749808;240.082982;356.988216;31.960904;50;SO2 Dry 11% O2;mg/Nm3
2025-05-29;2;289.757889;249.678891;334.207017;18.638346;59;SO2 Dry 11% O2;mg/Nm3
2025-05-29;3;301.662262;261.5021;393.738599;26.960716;59;SO2 Dry 11% O2;mg/Nm3
2025-05-29;4;303.286834;260.080297;364.774428;25.34256;60;SO2 Dry 11% O2;mg/Nm3
2025-05-29;5;324.182896;287.37635;364.519111;18.521255;54;SO2 Dry 11% O2;mg/Nm3
2025-05-30;22;244.519523;195.193891;311.945324;29.297811;54;SO2 Dry 11% O2;mg/Nm3
2025-05-30;23;247.263473;194.837232;305.826446;28.697209;59;SO2 Dry 11% O2;mg/Nm3
2025-05-31;0;271.969437;248.468958;302.063474;14.373261;25;SO2 Dry 11% O2;mg/Nm3
2025-05-31;1;243.800138;199.935832;277.889573;19.156411;49;SO2 Dry 11% O2;mg/Nm3
2025-05-31;2;228.078846;199.53215;329.155212;23.251504;59;SO2 Dry 11% O2;mg/Nm3
2025-05-31;3;218.684825;160.679843;259.002832;22.826779;59;SO2 Dry 11% O2;mg/Nm3
2025-05-31;4;181.704149;109.824518;237.5088;36.050644;59;SO2 Dry 11% O2;mg/Nm3
2025-05-31;5;205.579789;143.982219;272.995932;33.492265;55;SO2 Dry 11% O2;mg/Nm3
2025-05-31;22;161.769173;115.107487;208.870145;25.976496;59;SO2 Dry 11% O2;mg/Nm3
2025-05-31;23;163.944752;74.756079;238.102716;45.23317;59;SO2 Dry 11% O2;mg/Nm3
2025-06-01;0;133.062058;96.551345;184.940238;25.974715;24;SO2 Dry 11% O2;mg/Nm3
2025-06-01;1;196.416983;126.57031;251.243161;33.142517;50;SO2 Dry 11% O2;mg/Nm3
2025-06-01;2;169.843218;121.017436;232.620137;30.132491;59;SO2 Dry 11% O2;mg/Nm3
2025-06-01;3;171.263683;94.54536;247.650694;42.762131;59;SO2 Dry 11% O2;mg/Nm3
2025-06-01;4;199.709483;115.730885;293.485248;46.919336;59;SO2 Dry 11% O2;mg/Nm3
2025-06-01;5;185.230104;114.035928;246.801207;32.954546;54;SO2 Dry 11% O2;mg/Nm3
2025-06-01;22;234.75181;179.741922;288.769409;22.187954;59;SO2 Dry 11% O2;mg/Nm3
2025-06-01;23;243.663188;219.685634;271.171788;12.810486;59;SO2 Dry 11% O2;mg/Nm3
2025-06-02;0;226.253227;195.677998;247.028603;16.186072;21;SO2 Dry 11% O2;mg/Nm3
2025-06-02;1;222.720396;184.788774;267.338215;20.973655;46;SO2 Dry 11% O2;mg/Nm3
2025-06-02;2;211.380687;183.717391;247.37807;15.061151;59;SO2 Dry 11% O2;mg/Nm3
2025-06-02;3;211.749941;176.719981;255.405512;14.139735;59;SO2 Dry 11% O2;mg/Nm3
2025-06-02;4;226.798483;182.969459;340.441309;36.885766;59;SO2 Dry 11% O2;mg/Nm3
2025-06-02;5;220.982656;172.498219;316.780918;24.455382;54;SO2 Dry 11% O2;mg/Nm3
